"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1874002556789395948","Mon Jan 06 14:12:58 +0000 2025","0","@thinkaboutom @thinkaboutom Halo Kak Tom. Maaf atas keterlambatan responsnya ya. Rai bantu colek rekan di DM untuk prioritaskan balasan DM-nya. Silakan cek kembali DM-nya secara berkala ya -Rai","1876270740523438413","","thinkaboutom","in","Indonesia","0","0","0","https://x.com/Telkomsel/status/1876270740523438413","255409050","Telkomsel"
"1876267948807197117","Mon Jan 06 14:12:46 +0000 2025","0","@Telkomsel Setelah di-install ulang appsnya sudah bisa dibuka. Terima kasih admin Aci","1876270688916607357","","Telkomsel","in","Depok - Bandung","0","1","0","https://x.com/rfqsyw/status/1876270688916607357","74122108","rfqsyw"
"1876249069095649400","Mon Jan 06 14:11:43 +0000 2025","0","@cheesenezzeu Kuota internet dari paket apa Kak? -Feri","1876270425770197268","","cheesenezzeu","in","Indonesia","0","1","0","https://x.com/Telkomsel/status/1876270425770197268","255409050","Telkomsel"
"1876270394828886112","Mon Jan 06 14:11:36 +0000 2025","0","cantik sayang https://t.co/SfbrWxvs3l","1876270394828886112","https://pbs.twimg.com/amplify_video_thumb/1876266404028239872/img/2sDOCSDxR-kKHl7L.jpg","","in","𐤀","0","0","0","https://x.com/skyndut/status/1876270394828886112","1523935760562327552","skyndut"
"1876270362813780132","Mon Jan 06 14:11:28 +0000 2025","0","serius yang di shanghai kagak tantrum liat beginian https://t.co/Qy93kC24Lm","1876270362813780132","https://pbs.twimg.com/amplify_video_thumb/1876266404028239872/img/2sDOCSDxR-kKHl7L.jpg","","in","𐤀","0","0","0","https://x.com/skyndut/status/1876270362813780132","1523935760562327552","skyndut"
"1876255693860438019","Mon Jan 06 14:11:26 +0000 2025","0","@hhanncock Amo sedih bacanya Kak Infoin detail kendalanya ya biar dibantu lebih lanjut-Amo","1876270352155996384","","hhanncock","in","Indonesia","0","0","0","https://x.com/Telkomsel/status/1876270352155996384","255409050","Telkomsel"
"1876261094232338447","Mon Jan 06 14:10:45 +0000 2025","0","@nay0nnaise Memang kontol tu telkomsel","1876270181913407935","","nay0nnaise","in","Space","0","1","0","https://x.com/pieshie/status/1876270181913407935","1528930194","pieshie"
"1876265686424862732","Mon Jan 06 14:10:01 +0000 2025","0","@purpleyou_875 @purpleyou_875 Sambung di DM ya Kak untuk pengecekan lebih lanjut terkait layanan VAS-nya :) -Frey","1876269999490469895","","purpleyou_875","in","Indonesia","0","1","0","https://x.com/Telkomsel/status/1876269999490469895","255409050","Telkomsel"
"1876244679483887983","Mon Jan 06 14:09:20 +0000 2025","0","@tetawanann semangat sidang nyaaa kakak dey ","1876269824856445116","","tetawanann","in",".☘︎ ݁˖ hong’s gf.","0","1","0","https://x.com/migreenisme/status/1876269824856445116","1867906336270467072","migreenisme"
"1874002556789395948","Mon Jan 06 14:09:00 +0000 2025","0","@Telkomsel ini udah mau seminggu belum dibales loh","1876269743419818060","","Telkomsel","in","","0","1","0","https://x.com/thinkaboutom/status/1876269743419818060","1452812830902603776","thinkaboutom"
"1876265686424862732","Mon Jan 06 14:08:45 +0000 2025","0","@purpleyou_875 @purpleyou_875 Hai Kak. Maaf Kak mengenai pulsa terpotong karena layanan VAS tunggu konfirmasi berikutnya via DM ya :) -Frey","1876269678563324049","","purpleyou_875","in","Indonesia","0","1","0","https://x.com/Telkomsel/status/1876269678563324049","255409050","Telkomsel"
"1876269528491122967","Mon Jan 06 14:08:09 +0000 2025","0","۫ ꣑ৎ Wts want to sell jual paket data kuota paketan internet data tsel telkomsel flash full mini malam masa aktif kartu murce harian mingguan bulanan bisa langsung proses habis tf #ZONAUANG https://t.co/lOq9DoabGV","1876269528491122967","https://pbs.twimg.com/media/GgcVBPVa8AA70vb.jpg","","in","","0","0","0","https://x.com/sputnimk/status/1876269528491122967","1858415366369873920","sputnimk"
"1876248854942859705","Mon Jan 06 14:08:09 +0000 2025","0","@shintyatan Waduh... Tenang Kak. Feri bantu kendala sinyalnya ya. Yuk cek DM dari Feri","1876269528289808701","","shintyatan","in","Indonesia","0","0","0","https://x.com/Telkomsel/status/1876269528289808701","255409050","Telkomsel"
"1876269252342337695","Mon Jan 06 14:07:03 +0000 2025","750","Ada siapa nih? Siapa yang udah langganan?!! MinDira sih udahIzin spill salah satu kontennya yaa min @Telkomsel @SP_IndiraJKT48 https://t.co/7B9XOpJr7Q","1876269252342337695","https://pbs.twimg.com/media/GgnY8AqakAAncIL.jpg","","in","𝗝𝗼𝗶𝗻 𝗨𝘀 𝗡𝗼𝘄 ➟","6","14","130","https://x.com/Indiraise_ID/status/1876269252342337695","1285586780436090883","Indiraise_ID"
"1876268700644610381","Mon Jan 06 14:06:53 +0000 2025","0","@musicaddictto @musicaddictto Hai Kak. Ada kendala dengan jaringan Telkomselnya kah? Maaf ya Biar bisa dibantu pengecekan lebih lanjut boleh share nomor Telkomselnya ke DM yuk. Infoin juga waktu kejadian lokasi lengkap dan nomor Telkomsel lain yang berkendala sama jika ada ya -Rai","1876269211141709901","","musicaddictto","in","Indonesia","0","0","0","https://x.com/Telkomsel/status/1876269211141709901","255409050","Telkomsel"
"1876268439012294818","Mon Jan 06 14:06:22 +0000 2025","0","@kakucchow kaga yes.. ada paket atas nama gua. terus mama gua bilang lagi lagi skynani ","1876269079218274711","","kakucchow","in",".☘︎ ݁˖ hong’s gf.","0","1","0","https://x.com/migreenisme/status/1876269079218274711","1867906336270467072","migreenisme"
"1876268873483514116","Mon Jan 06 14:05:33 +0000 2025","1","cah apk Telkomsel mu bisa dibuka nggak? punyaku kok nggak bisa ya mental terus","1876268873483514116","","","in","Kediri, Jawa Timur","0","8","0","https://x.com/KediriFess/status/1876268873483514116","1217996995370967040","KediriFess"
"1876268700644610381","Mon Jan 06 14:04:52 +0000 2025","0","telkomsel lagi gangguan apa gimana dah @Telkomsel","1876268700644610381","","","in","","0","1","0","https://x.com/musicaddictto/status/1876268700644610381","1721413942453678081","musicaddictto"
"1876267552617423312","Mon Jan 06 14:03:23 +0000 2025","0","@YRachmania @YRachmania Maaf Kak Yasmine kalo yang dimaksud ga dapat SMS link akses Youtube Premium DM in nomor HP sama tgl aktivasi. Makasih :) -Rasya","1876268326823059758","","YRachmania","in","Indonesia","0","1","0","https://x.com/Telkomsel/status/1876268326823059758","255409050","Telkomsel"
"1876267948807197117","Mon Jan 06 14:03:22 +0000 2025","0","@rfqsyw Kak @rfqsyw maafin ya kalau ada kendala akses MyTelkomsel. Silakan coba clear cache kemudian uninstal dulu dan download lagi versi terbaru nya. Kalau masih gak bisa silakan infokan nomor HP Type HP versi OS dan capture kendala nya ke DM biar dicek dulu -Aci","1876268323501121866","","rfqsyw","in","Indonesia","0","1","0","https://x.com/Telkomsel/status/1876268323501121866","255409050","Telkomsel"
"1876248638281892186","Mon Jan 06 14:03:08 +0000 2025","0","@qwcecan @qwcecan Baik Kak Cecan. Kuuuy kirimin nomor HP nomor lain yang alami kendala sama jika ada tanggal waktu kejadian dan detail lokasinya ke DM agar bisa dibantu cek serta dilakukan penanganan ya. Makasih. -Beeru","1876268264680304680","","qwcecan","in","Indonesia","0","0","0","https://x.com/Telkomsel/status/1876268264680304680","255409050","Telkomsel"
"1875754166699663694","Mon Jan 06 14:02:38 +0000 2025","0","@tanyakanrl jir telkomsel malah murah https://t.co/SgkZjqjThh","1876268140885348702","https://pbs.twimg.com/media/GgnX7EobYAA44Qw.jpg","tanyakanrl","in","","0","1","0","https://x.com/rclanee/status/1876268140885348702","1637363427164430336","rclanee"
"1876267948807197117","Mon Jan 06 14:01:53 +0000 2025","0","@Telkomsel permisi admin saya Rifqi dari Depok mau tanya ini saya mau buka apps MyTelkomsel dari kemarin ndak bisa-bisa ada apa ya? Mau isi paket dari apps jadi ndak bisa nih. Mohon bantuannya. Terima kasih","1876267948807197117","","Telkomsel","in","Depok - Bandung","0","1","0","https://x.com/rfqsyw/status/1876267948807197117","74122108","rfqsyw"
"1874442114932920670","Mon Jan 06 14:01:36 +0000 2025","0","@Telkomsel Terimakasih Mimin ","1876267879890608237","","Telkomsel","in","Super Junior ","0","1","0","https://x.com/mylovedleeteuk/status/1876267879890608237","1183764692574932992","mylovedleeteuk"
"1876265195229847740","Mon Jan 06 13:55:27 +0000 2025","0","@rankohara @rankohara Siaap Kak Ranran DM-nya akan direspon sesuai antrean berkenan menunggu dan cek DM secara berkala makasih. -Nabil","1876266330250526846","","rankohara","in","Indonesia","0","0","0","https://x.com/Telkomsel/status/1876266330250526846","255409050","Telkomsel"
"1876254453634138189","Mon Jan 06 13:55:19 +0000 2025","0","@Telkomsel baik min","1876266297379738042","","Telkomsel","in","","0","1","0","https://x.com/Nadea343460314/status/1876266297379738042","1538073608068530177","Nadea343460314"
"1876213563699974220","Mon Jan 06 13:55:15 +0000 2025","0","@nlfikaa @nlfikaa Semoga apa yang Kak Fika harapkan bisa terealisasi ya -Beeru","1876266279595844048","","nlfikaa","in","Indonesia","0","0","0","https://x.com/Telkomsel/status/1876266279595844048","255409050","Telkomsel"
"1876213563699974220","Mon Jan 06 13:55:01 +0000 2025","0","@nlfikaa @nlfikaa Wihhh Oshinya Gendis nih Kak Fika? -Zyad","1876266221647339830","","nlfikaa","in","Indonesia","0","0","0","https://x.com/Telkomsel/status/1876266221647339830","255409050","Telkomsel"
"1876265686424862732","Mon Jan 06 13:54:04 +0000 2025","0","@Telkomsel AL dah punya pasangan GPT","1876265983037628837","","Telkomsel","in","Kota Bandung, Jawa Barat","0","0","0","https://x.com/Sunsan4rd/status/1876265983037628837","1830223313723174912","Sunsan4rd"
"1876238955718525084","Mon Jan 06 13:53:26 +0000 2025","0","@Telkomsel Dah bisa kak. Tapi capek aja harus selalu reinstall tiap kalo begini since sering bgt ngebug belakangan ini. Delete cache doang sering tetep gabisa. Kalo gini bisa laporan ga?","1876265826204196926","","Telkomsel","in","","0","1","0","https://x.com/katsuplosion/status/1876265826204196926","1295652715662422016","katsuplosion"
"1876265686424862732","Mon Jan 06 13:52:53 +0000 2025","2","Nggak nyangka ternyata AI udah jadi bestie kita dari lama! Dari Maps yang nggak nyasar sampe filter medsos yang bikin kece. Menurut kamu AI mana yang paling ngebantu? Coba reply di bawah dan jangan lupa RT tweet biar faedahnya banyak ya! #TelkomselPraBayar https://t.co/iT66eO7PXH","1876265686424862732","https://pbs.twimg.com/media/GgnVsNFakAAWECt.jpg","","in","Indonesia","0","26","0","https://x.com/Telkomsel/status/1876265686424862732","255409050","Telkomsel"
"1876213563699974220","Mon Jan 06 13:52:18 +0000 2025","0","@Telkomsel Ditunggu versi photocard nya &amp; bisa pilih member min","1876265539598962858","","Telkomsel","in","Pekalongan, Jawa Tengah","0","1","0","https://x.com/nlfikaa/status/1876265539598962858","1792866377411518464","nlfikaa"
"1876213563699974220","Mon Jan 06 13:51:21 +0000 2025","0","@Telkomsel WAAAA DEKKK GENDISSS","1876265301320634490","","Telkomsel","in","Pekalongan, Jawa Tengah","0","1","0","https://x.com/nlfikaa/status/1876265301320634490","1792866377411518464","nlfikaa"
